Country code,Year,labor share group,firms,value_added,value_added_tot,Country,count,Method
DE,1985,0.1,,,,Germany,1.0,Method 1
DE,1985,0.2,,,,Germany,1.0,Method 1
DE,1985,0.30000000000000004,,,,Germany,1.0,Method 1
DE,1985,0.4,1.0,78426443.0,78426443.0,Germany,1.0,Method 1
DE,1985,0.5,,,,Germany,1.0,Method 1
DE,1985,0.6000000000000001,,,,Germany,1.0,Method 1
DE,1985,0.7000000000000001,,,,Germany,1.0,Method 1
DE,1985,0.8,,,,Germany,1.0,Method 1
DE,1985,0.9,,,,Germany,1.0,Method 1
DE,1985,1.0,,,,Germany,1.0,Method 1
DE,1985,1.1,,,,Germany,1.0,Method 1
DE,1985,1.2000000000000002,,,,Germany,1.0,Method 1
DE,1985,1.3,,,,Germany,1.0,Method 1
DE,1985,1.4000000000000001,,,,Germany,1.0,Method 1
DE,1985,1.5,,,,Germany,1.0,Method 1
DE,1986,0.1,,,,Germany,1.0,Method 1
DE,1986,0.2,,,,Germany,1.0,Method 1
DE,1986,0.30000000000000004,,,,Germany,1.0,Method 1
DE,1986,0.4,,,,Germany,1.0,Method 1
DE,1986,0.5,1.0,89815027.0,89815027.0,Germany,1.0,Method 1
DE,1986,0.6000000000000001,,,,Germany,1.0,Method 1
DE,1986,0.7000000000000001,,,,Germany,1.0,Method 1
DE,1986,0.8,,,,Germany,1.0,Method 1
DE,1986,0.9,,,,Germany,1.0,Method 1
DE,1986,1.0,,,,Germany,1.0,Method 1
DE,1986,1.1,,,,Germany,1.0,Method 1
DE,1986,1.2000000000000002,,,,Germany,1.0,Method 1
DE,1986,1.3,,,,Germany,1.0,Method 1
DE,1986,1.4000000000000001,,,,Germany,1.0,Method 1
DE,1986,1.5,,,,Germany,1.0,Method 1
DE,1987,0.1,,,,Germany,1.0,Method 1
DE,1987,0.2,,,,Germany,1.0,Method 1
DE,1987,0.30000000000000004,,,,Germany,1.0,Method 1
DE,1987,0.4,1.0,119134936.0,119134936.0,Germany,1.0,Method 1
DE,1987,0.5,,,,Germany,1.0,Method 1
DE,1987,0.6000000000000001,,,,Germany,1.0,Method 1
DE,1987,0.7000000000000001,,,,Germany,1.0,Method 1
DE,1987,0.8,,,,Germany,1.0,Method 1
DE,1987,0.9,,,,Germany,1.0,Method 1
DE,1987,1.0,,,,Germany,1.0,Method 1
DE,1987,1.1,,,,Germany,1.0,Method 1
DE,1987,1.2000000000000002,,,,Germany,1.0,Method 1
DE,1987,1.3,,,,Germany,1.0,Method 1
DE,1987,1.4000000000000001,,,,Germany,1.0,Method 1
DE,1987,1.5,,,,Germany,1.0,Method 1
DE,1988,0.1,,,,Germany,2.0,Method 1
DE,1988,0.2,,,,Germany,2.0,Method 1
DE,1988,0.30000000000000004,1.0,205580000.0,317451837.0,Germany,2.0,Method 1
DE,1988,0.4,1.0,111871837.0,317451837.0,Germany,2.0,Method 1
DE,1988,0.5,,,,Germany,2.0,Method 1
DE,1988,0.6000000000000001,,,,Germany,2.0,Method 1
DE,1988,0.7000000000000001,,,,Germany,2.0,Method 1
DE,1988,0.8,,,,Germany,2.0,Method 1
DE,1988,0.9,,,,Germany,2.0,Method 1
DE,1988,1.0,,,,Germany,2.0,Method 1
DE,1988,1.1,,,,Germany,2.0,Method 1
DE,1988,1.2000000000000002,,,,Germany,2.0,Method 1
DE,1988,1.3,,,,Germany,2.0,Method 1
DE,1988,1.4000000000000001,,,,Germany,2.0,Method 1
DE,1988,1.5,,,,Germany,2.0,Method 1
DE,1989,0.1,,,,Germany,2.0,Method 1
DE,1989,0.2,,,,Germany,2.0,Method 1
DE,1989,0.30000000000000004,1.0,243277000.0,382966668.0,Germany,2.0,Method 1
DE,1989,0.4,1.0,139689668.0,382966668.0,Germany,2.0,Method 1
DE,1989,0.5,,,,Germany,2.0,Method 1
DE,1989,0.6000000000000001,,,,Germany,2.0,Method 1
DE,1989,0.7000000000000001,,,,Germany,2.0,Method 1
DE,1989,0.8,,,,Germany,2.0,Method 1
DE,1989,0.9,,,,Germany,2.0,Method 1
DE,1989,1.0,,,,Germany,2.0,Method 1
DE,1989,1.1,,,,Germany,2.0,Method 1
DE,1989,1.2000000000000002,,,,Germany,2.0,Method 1
DE,1989,1.3,,,,Germany,2.0,Method 1
